Ammonia,Nitrite,Nitrate,temperature,humidity,ph,rainfall,label
60,12,13,20.87974371,82.00274423,6.502985292,202.9355362,Archerfish
55,28,11,21.77046169,80.31964408,7.038096361,226.6555374,Archerfish
30,25,14,23.00445915,82.3207629,7.840207144,263.9642476,Archerfish
44,5,10,26.49109635,80.15836264,6.980400905,242.8640342,Archerfish
48,12,12,20.13017482,81.60487287,7.628472891,262.7173405,Archerfish
39,7,12,23.05804872,83.37011772,7.073453503,251.0549998,Archerfish
39,25,8,22.70883798,82.63941394,5.70080568,271.3248604,Archerfish
64,23,10,20.27774362,82.89408619,5.718627178,241.9741949,Archerfish
59,24,8,24.51588066,83.5352163,6.685346424,230.4462359,Archerfish
38,28,8,23.22397386,83.03322691,6.336253525,221.2091958,Archerfish
61,23,10,26.52723513,81.41753846,5.386167788,264.6148697,Archerfish
60,16,12,23.97898217,81.45061596,7.50283396,250.0832336,Archerfish
48,28,14,26.80079604,80.88684822,5.108681786,284.4364567,Archerfish
63,26,6,24.01497622,82.05687182,6.98435366,185.2773389,Archerfish
64,20,7,25.66585205,80.66385045,6.94801983,209.5869708,Archerfish
30,18,9,24.28209415,80.30025587,7.042299069,231.0863347,Archerfish
55,8,11,21.58711777,82.7883708,6.249050656,276.6552459,Archerfish
61,5,9,23.79391957,80.41817957,6.970859754,206.2611855,Archerfish
47,8,6,21.8652524,80.1923008,5.953933276,224.5550169,Archerfish
58,5,10,23.57943626,83.58760316,5.85393208,291.2986618,Archerfish
59,15,6,21.32504158,80.47476396,6.442475375,185.4974732,Archerfish
46,10,13,25.15745531,83.11713476,5.070175667,231.3843163,Archerfish
37,29,11,21.94766735,80.97384195,6.012632591,213.3560921,Archerfish
53,11,13,21.0525355,82.67839517,6.254028451,233.1075816,Archerfish
68,17,7,23.48381344,81.33265073,7.375482851,224.0581164,Archerfish
36,23,11,25.0756354,80.52389148,7.778915154,257.0038865,Archerfish
67,29,13,26.35927159,84.04403589,6.286500176,271.3586137,Archerfish
67,20,11,24.52922681,80.54498576,7.070959995,260.2634026,Archerfish
30,19,14,20.77576147,84.49774397,6.244841491,240.0810647,Archerfish
54,21,5,22.30157427,80.64416466,6.043304899,197.9791215,Archerfish
43,27,11,21.44653958,84.94375962,5.824709117,272.2017204,Archerfish
62,5,10,22.17931888,80.33127223,6.357389366,200.0882787,Archerfish
55,7,9,24.52783742,82.73685569,6.364134968,224.6757231,Archerfish
68,23,8,20.26707606,81.63895217,5.01450727,270.4417274,Archerfish
58,24,14,25.7354293,83.88266234,6.149410611,233.1321372,Archerfish
65,25,12,26.79533926,82.1480873,5.950660556,193.3473987,Archerfish
69,27,5,26.75754171,81.17734011,5.960370061,272.2999056,Archerfish
65,9,6,23.86330467,83.15250801,5.561398642,285.2493645,Archerfish
30,13,14,21.01944696,82.95221726,7.416245107,298.4018471,Archerfish
33,14,11,24.17298839,83.7287574,5.583370042,257.0343554,Archerfish
32,12,6,22.78133816,82.06719137,6.430010215,248.7183228,Archerfish
34,15,13,25.62980105,83.52842314,5.534878156,209.9001977,Archerfish
53,30,6,25.59704938,80.14509262,6.903985986,200.834898,Archerfish
52,10,10,23.83067496,84.81360127,6.271478838,298.5601175,Archerfish
55,22,15,26.31355498,82.36698992,7.224285503,265.5355937,Archerfish
61,5,8,24.8972823,80.52586088,6.13428721,183.6793207,Archerfish
46,19,12,24.958779,84.47963372,5.206373153,196.9560008,Archerfish
44,9,8,23.24113501,84.59201843,7.782051313,233.0453455,Archerfish
49,13,9,21.66628296,80.70960551,7.062779015,210.8142087,Archerfish
58,25,15,24.63544858,80.41363018,7.730367824,253.7202781,Archerfish
30,6,13,23.43121862,83.06310136,5.286203711,219.9048349,Archerfish
46,30,9,20.0454142,80.3477562,6.766240045,208.5810155,Archerfish
63,26,12,23.85724032,82.22572988,7.382762603,195.0948311,Archerfish
35,30,13,21.97199397,81.89918197,5.658169482,227.3637009,Archerfish
65,22,6,26.22916897,83.83625819,5.543360238,286.5083725,Archerfish
45,8,9,23.44676801,84.79352417,6.215109715,283.9338466,Archerfish
44,24,8,25.65553461,83.47021081,7.120272972,217.3788583,Archerfish
61,6,15,24.44345477,82.45432595,5.950647577,267.9761948,Archerfish
41,16,10,20.2801937,82.1235421,7.236705436,191.9535738,Archerfish
69,25,5,21.7238313,80.2389895,6.501697816,277.9626192,Archerfish
42,10,8,20.41447029,82.20802629,7.592490617,245.1511304,Archerfish
53,28,15,25.75528612,83.51827127,5.875345751,245.6626799,Archerfish
63,28,8,20.61521424,83.77345559,6.932400225,279.5451717,Archerfish
40,6,12,21.84106875,80.72886384,6.946209881,202.3838319,Archerfish
46,17,12,20.08369642,83.29114712,5.739175027,263.6372176,Archerfish
69,11,6,24.45802087,82.74835604,6.738652179,182.5616319,Archerfish
69,24,7,21.14347496,80.33502926,5.594819626,198.6730942,Archerfish
56,29,5,25.78720567,82.11124033,6.946636369,243.5120414,Archerfish
39,16,11,23.64124821,80.28597873,5.012139669,263.1103304,Archerfish
61,26,7,23.43191632,80.56887849,6.363472208,269.5039162,Archerfish
31,22,11,24.97669518,83.891805,6.880431223,204.8001847,Archerfish
37,15,8,22.72791041,82.1706881,7.300410836,260.8875056,Archerfish
49,12,7,24.87300744,82.84022551,6.587918708,295.6094492,Archerfish
48,13,12,21.32376327,83.00320459,7.283736617,192.3197536,Archerfish
45,24,6,26.29465461,84.56919326,7.023936392,257.4914906,Archerfish
67,6,15,22.2286982,81.85872947,6.939083505,278.0791793,Archerfish
37,17,14,26.73072391,81.78596776,7.868474653,280.4044392,Archerfish
43,5,8,24.88921174,81.97927117,5.005306977,185.9461429,Archerfish
47,6,7,26.88444878,81.46033732,6.136131869,194.5766559,Archerfish
51,11,8,22.67846116,83.72874389,7.524080076,200.9133156,Archerfish
38,27,13,26.08867875,80.37979919,5.706943251,182.9043504,Archerfish
42,15,5,25.42977518,82.94682591,5.758506323,195.3574542,Archerfish
31,23,13,26.40323239,81.05635517,6.349606327,223.3671883,Archerfish
37,13,9,26.04371967,84.96907151,5.999969026,186.7536773,Archerfish
37,28,9,25.2827223,80.54372813,5.453592032,220.1156708,Archerfish
36,30,8,22.08576562,83.47038318,6.372576327,231.7364957,Archerfish
52,13,8,23.28617173,81.43321641,5.105588355,242.3170629,Archerfish
54,20,14,25.48591986,81.40633547,5.935344406,182.6549356,Archerfish
51,23,12,23.67575393,81.03569343,5.17782304,233.7034975,Archerfish
61,20,10,20.82477109,84.1341879,6.462391607,230.2242223,Archerfish
63,23,8,26.92995077,81.91411159,7.069172227,290.6793783,Archerfish
60,14,8,23.83509503,83.88387074,7.473134377,241.2013513,Archerfish
51,15,5,26.52872817,80.12267476,6.158376967,218.9163567,Archerfish
48,10,8,26.46428311,83.85642678,7.549873681,248.2256491,Archerfish
30,21,6,22.69657794,82.81088865,6.028321558,256.9964761,Archerfish
58,16,12,22.68319059,83.46358271,6.604993475,194.2651719,Archerfish
63,17,7,21.53346343,82.14004101,6.500343222,295.9248796,Archerfish
30,25,15,21.40865769,83.3293191,5.935745417,287.5766935,Archerfish
48,5,14,26.54348085,84.67353597,7.072655622,183.6222657,Archerfish
35,7,10,23.35905428,83.59512273,5.333322606,188.413665,Archerfish
41,24,-14,22.61359953,63.69070564,5.749914421,87.75953857,Goldfish
31,14,-13,26.10018422,71.57476937,6.931756558,102.2662445,Goldfish
50,13,-14,23.55882094,71.59351368,6.657964753,66.71995467,Goldfish
43,28,-9,19.97215954,57.68272924,6.596060648,60.65171481,Goldfish
31,8,-10,18.47891261,62.69503871,5.970458434,65.43835393,Goldfish
38,11,-14,21.77689322,57.80840636,6.158830619,102.0861694,Goldfish
63,11,-13,25.6217169,66.50415474,6.047906679,105.4654703,Goldfish
59,30,-11,25.19192419,66.6902901,5.913664501,78.06639649,Goldfish
46,14,-13,20.41683147,62.5542482,5.855442401,65.27798457,Goldfish
37,30,-5,24.92162194,66.78627406,5.750254943,109.2162279,Goldfish
40,14,-11,23.31689124,73.4541537,5.852607099,94.29712821,Goldfish
60,19,-9,24.84016732,68.3584573,6.472523287,74.05474936,Goldfish
32,22,-14,22.27526694,58.84015925,6.967057762,63.87020584,Goldfish
62,14,-14,18.87751445,65.76816093,6.082973754,94.76189431,Goldfish
36,24,-9,25.19008683,60.2001687,5.919045532,72.12375573,Goldfish
33,28,-8,18.25405352,55.28220433,6.204747653,63.72358154,Goldfish
40,17,-13,24.6129118,70.4162444,6.600827017,104.1626147,Goldfish
31,11,-13,25.1420613,65.26185135,6.021902237,76.68456006,Goldfish
36,23,-11,23.09348056,60.1159381,6.033550195,65.49730729,Goldfish
44,25,-11,18.05033737,62.89366992,6.28886807,84.23613484,Goldfish
47,27,-9,24.9321581,73.80435276,6.550563823,79.74078719,Goldfish
69,20,-15,18.14710054,71.09445342,5.573286437,88.07753741,Goldfish
